case,exact_singular,energy_projection,ndiv,dt,tend,rows,ke0,ke_end,ke_end_drift_pct,ke_max_abs_drift_pct,wall_seconds
default_nd2_dt0p1_t2,False,True,2,0.1,2.0,21,7.301358857168632,7.301358857168751,1.6300514817589658e-12,1.5018369846116562e-10,24.3
exact_nd2_dt0p2_t2,True,True,2,0.2,2.0,11,7.117708086951875,7.117708086978309,3.713831166464056e-10,4.2284417346549626e-10,10.96
exact_nd2_dt0p1_t2,True,True,2,0.1,2.0,21,7.117708086951875,7.117708087008838,8.002918084470323e-10,8.462748332720443e-10,20.73
exact_nd2_dt0p05_t2,True,True,2,0.05,2.0,41,7.117708086951875,7.11770808706488,1.5876559605253503e-09,1.6337512912454571e-09,38.82
exact_nd3_dt0p1_t1,True,True,3,0.1,1.0,11,7.119564393061711,7.119564393092371,4.306431876355749e-10,4.306431876355749e-10,151.0
default_nd2_dt0p1_t2_noproj,False,False,2,0.1,2.0,21,7.301358857168632,7.390360834381597,1.2189782608148518,1.2189782608148518,2.96
exact_nd2_dt0p2_t2_noproj,True,False,2,0.2,2.0,11,7.117708086951875,7.192270972480785,1.0475687485076561,1.0475687485076561,1.82
exact_nd2_dt0p1_t2_noproj,True,False,2,0.1,2.0,21,7.117708086951875,7.194275417644315,1.0757301333107787,1.0757301333107787,2.8
exact_nd2_dt0p05_t2_noproj,True,False,2,0.05,2.0,41,7.117708086951875,7.194769160667057,1.0826669592765366,1.0826669592765366,4.24
exact_nd3_dt0p1_t1_noproj,True,False,3,0.1,1.0,11,7.119564393061711,7.17864648535887,0.8298554382728401,0.8298554382728401,19.71
